Apellidos;Nombre;DNI;Población;Fecha Nac;Sexo;Peso 
AROCAS PASADAS;ESTEFANIA;938205580;Zaragoza;20/03/1964;Mujer;73
VISO GILABERT;QUERALT;936545115;Barcelona;13/12/1965;Mujer;98
AYALA FERRERAS;JOAN;938202768;Zaragoza;20/07/1969;Hombre;61
BAEZ TEJADO;JOAN;938727844;Zaragoza;23/07/1965;Hombre;70
BASTARDES SOTO;MARCELO;938350521;Tarragona;16/10/1964;Hombre;91
ANGUERA VILAFRANCA;JOSE;938755645;Valencia;16/11/1958;Hombre;53
PASCUAL ALOY;ESTHER;936520547;Girona;20/03/1967;Mujer;60
VALLÉS GIRVENT;LAURA;936565656;Tarragona;17/09/1966;Mujer;70
RAYA GARCIA;RAQUEL;936752156;Barcelona;10/10/1967;Mujer;65
ANDREU CRUZ;JOAN;938300025;Tarragona;29/05/1960;Hombre;99
BARALDÉS COMAS;MARIA ISABEL;938385567;Lleida;11/03/1968;Mujer;87
BERENGUERAS RAYA;ADRIÀN;937809812;Valencia;23/09/1964;Hombre;92
GARCIA UCEDA;GERARDO;936520741;Zaragoza;13/01/1966;Hombre;66
ARNAU MORENO;ELIOT;938202456;Girona;02/09/1957;Hombre;53
RAYA GAVILAN;JORDI;938754554;Lleida;18/07/1969;Hombre;101
ZAMBUDIO FIGULS;LUÍS;936875544;Lleida;30/01/1969;Hombre;104
BIDAULT CULLERÉS;LAURA;935880712;Valencia;02/04/1967;Mujer;74
BIOSCA FONTANET;JORDI;936875255;Zaragoza;03/09/1958;Hombre;107
ZAFRA FIGULS;DOUNYA;936542775;Tarragona;31/05/1966;Mujer;107
ALEU ICART;JULIO;938773545;Barcelona;21/09/1967;Hombre;79
BADIA TORNÉ;ANDREU;938200022;Valencia;23/02/1963;Hombre;106
MORALES GESE;RAMON;936512545;Tarragona;26/01/1958;Hombre;70
BLANCO FONTANET;DAVID;937785655;Lleida;23/09/1960;Hombre;61
ALVAREZ FERNÁNDEZ;ARAN;938300385;Madrid;27/09/1964;Hombre;85
GARCIA ALMOGUERA;GEMMA;936520471;Barcelona;22/03/1962;Mujer;75
LIBORI FIGUERAS;IVAN;936012445;Girona;23/07/1965;Hombre;88
BIDAULT PUEYO;DAVID;934500611;Barcelona;13/05/1969;Hombre;102
BENITEZ JOSE;XAVIER;937885544;Girona;17/05/1966;Hombre;69
PASCUAL FLORES;MARIO;936512105;Girona;02/08/1959;Hombre;73
AYALA TORNÉ;JESUS;938202200;Girona;04/01/1959;Hombre;71
LISTAN FIGUERAS;GEMMA;939965585;Madrid;29/11/1968;Mujer;77
RASERO GAVILAN;SILVIA;936541235;Barcelona;14/06/1964;Mujer;104
ARNALOT PUIG;ALBERTO;938204054;Lleida;20/06/1969;Hombre;59
MOLINER GARRIDO;MARIA;936584541;Tarragona;21/11/1966;Mujer;106
GALOBART GARCIA;BERTA;934111475;Zaragoza;17/05/1959;Mujer;58
LÓPEZ GARRIGASSAIT;BERTA;935687444;Zaragoza;11/07/1965;Mujer;80
SÁNCHEZ GÓMEZ;MIREIA;936658711;Lleida;09/12/1962;Mujer;66
ALAVEDRA SUNYÉ;GEMMA;938773941;Barcelona;22/03/1966;Mujer;66
ALIGUÉ BONVEHÍ;MARIA ISABEL;938305295;Lleida;22/02/1967;Mujer;68
